player_id,year,round,pick,team
bentoed01,1962,8,68,CIN
bentote01,1972,6,84,DET
berbejo01,1961,5,48,STL
bercege01,1948,6,,NYK
bergecl01,1968,9,119,MIL
bergega01,1956,2,12,NYK
bergero01,1999,2,52,POR
berghla01,1969,11,146,CHI
bergiwi01,1956,11,81,SYR
bergmjo01,1970,7,104,SFW
bergre01,1948,5,,INJ
berinjo01,2025,1,17,MIN
bermaar01,1972,5,65,BUF
bernami01,1970,7,107,CIN
bernari01,1978,7,142,GSW
berrycu01,1981,3,58,KCK
berryle01,1980,7,147,CLE
berryri01,1988,1,18,SAC
berrysa01,1975,5,88,BUF
berrywa01,1986,1,14,POR
bertada01,2011,2,42,IND
bertrjo01,1954,10,82,MLH
berwala01,1984,5,115,LAL
besdime01,1954,8,69,SYR
beshega01,1953,12,,SYR
bessohu01,2022,2,58,IND
bestjo01,1993,2,36,NJN
besttr01,1995,1,23,IND
bethaja01,1982,6,130,PHO
betheto01,1983,6,127,ATL
bettsan01,1998,2,50,CHH
beuscmi01,1976,10,170,WSB
beverpa01,2009,2,42,LAL
beysa01,2020,1,19,BRK
beyty01,2020,2,36,PHI
bialowe01,1967,4,37,STL
biancal01,1954,2,18,MNL
biasaha01,1947,2,,BOS
biasle01,1986,1,2,BOS
bibbyhe01,1972,4,58,NYK
bibbymi01,1998,1,2,VAN
biberta01,2023,2,56,MEM
biedeed01,1967,9,96,STL
biedran01,2004,1,11,GSW
bielkdo01,1954,8,67,FTW
bigelbo01,1975,1,13,KCK
bilasja01,1986,5,108,DAL
bileswi01,1974,4,65,GSW
billili01,1974,4,72,MIL
billuch01,1997,1,3,BOS
billujo01,1977,5,109,DEN
binelau01,1986,2,40,ATL
bingda01,1966,1,2,DET
bingeda01,1986,4,75,GSW
binghji01,1953,4,,FTW
binioda01,1983,10,221,SEA
biniojo01,1984,3,57,SAS
birdca01,1976,5,86,GSW
birdja01,2017,2,56,BOS
birdje01,1956,3,19,MNL
birdla01,1978,1,6,BOS
birdre01,1972,4,55,ATL
birdsot01,1977,1,2,KCK
bisbaje01,1973,7,111,PHO
bishoch01,1970,6,90,CIN
bishora01,1947,6,,CHS
bishoth01,1952,5,,MNL
bissabo01,1971,16,229,CHI
bitadgo01,2019,1,18,IND
biyombi01,2011,1,7,SAC
bjeline01,2010,2,35,WAS
blabuw01,1985,1,17,DAL
blacede01,1968,16,192,BAL
blackan01,2023,1,6,ORL
blackco01,1984,2,28,SEA
blackde01,1984,9,202,POR
blackja03,1987,5,94,NJN
blackji01,1982,3,59,NJN
blackji02,1948,7,,BLB
blackke01,1983,9,201,NJN
blackna01,1987,2,27,SAS
blackro01,1981,1,9,DAL
blackst01,1985,3,67,PHI
blackto01,1964,9,74,BAL
bladefr01,1975,8,131,PHI
blainke01,1985,5,108,NJN
blairbi01,1964,14,99,STL
blaircu01,1992,2,53,HOU
blairde01,2009,2,37,SAS
blaired01,1958,7,51,DET
blairjo01,1981,6,132,NYK
blairjo02,1996,2,35,SEA
blakest01,2003,2,38,WAS
blaklke01,1980,5,108,KCK
blalowi01,2006,2,60,DET
blandpi01,1982,9,194,ATL
blaneda01,1986,4,92,LAL
blanege01,1961,4,33,NYK
blankji01,1975,2,29,HOU
blankla01,1990,1,26,DET
blantri01,1989,2,46,PHO
blatcan01,2005,2,49,WAS
